,Region,Team,Pistol Rounds Won,First Kills,KAST,Clutches,Eco,Semi-Eco,Half-Buy,Full-Buy,+1,-1,0,+2,-2,-3,+3,+4,-4,Pistol Rounds Won Opp,First Kills Opp,KAST Opp,Clutches Opp,Eco Opp,Semi-Eco Opp,Half-Buy Opp,Full-Buy Opp,+1 Opp,-1 Opp,0 Opp,+2 Opp,-2 Opp,-3 Opp,+3 Opp,+4 Opp,-4 Opp,Result
59,EMEA,NAVI,3,37,0.74,0.125,0.0,0.0,0.4,0.67,0.875,0.245,0.6825,1.0,0.0666666666666666,0.0,1.0,1.0,0.0,3,29,0.69,0.0571428571428571,0.5,0.0,0.47,0.46,0.755,0.125,0.3175,0.9333333333333332,0.0,0.0,1.0,1.0,0.0,1
60,EMEA,FUT,4,40,0.78,0.1951219512195122,0.67,0.33,0.56,0.54,0.6475,0.415,0.4775,0.89,0.2166666666666666,0.0,0.875,1.0,0.0,2,34,0.7,0.1521739130434782,0.0,0.0,0.33,0.57,0.5850000000000001,0.3525,0.5225,0.7833333333333333,0.11,0.125,1.0,1.0,0.0,1
61,EMEA,M8,2,34,0.7,0.1521739130434782,0.0,0.0,0.33,0.57,0.5850000000000001,0.3525,0.5225,0.7833333333333333,0.11,0.125,1.0,1.0,0.0,4,40,0.78,0.1951219512195122,0.67,0.33,0.56,0.54,0.6475,0.415,0.4775,0.89,0.2166666666666666,0.0,0.875,1.0,0.0,0
62,EMEA,TH,4,40,0.77,0.2068965517241379,0.0,0.25,0.62,0.65,0.7350000000000001,0.2299999999999999,0.59,0.8633333333333333,0.1166666666666666,0.0,0.93,1.0,0.0,2,21,0.64,0.119047619047619,0.0,0.33,0.33,0.5,0.7699999999999999,0.265,0.41,0.8833333333333333,0.1366666666666667,0.07,1.0,0.0,0.0,1
63,EMEA,GX,2,21,0.64,0.119047619047619,0.0,0.33,0.33,0.5,0.7699999999999999,0.265,0.41,0.8833333333333333,0.1366666666666667,0.07,1.0,0.0,0.0,4,40,0.77,0.2068965517241379,0.0,0.25,0.62,0.65,0.7350000000000001,0.2299999999999999,0.59,0.8633333333333333,0.1166666666666666,0.0,0.93,1.0,0.0,0
64,EMEA,VIT,4,30,0.65,0.1,0.0,0.2,0.47,0.47,0.87,0.0725,0.4275,0.84,0.0,0.0,0.915,1.0,0.0,2,46,0.72,0.1578947368421052,0.0,1.0,0.55,0.62,0.9275,0.13,0.5725,1.0,0.16,0.085,1.0,1.0,0.0,0
65,EMEA,FNC,2,46,0.72,0.1578947368421052,0.0,1.0,0.55,0.62,0.9275,0.13,0.5725,1.0,0.16,0.085,1.0,1.0,0.0,4,30,0.65,0.1,0.0,0.2,0.47,0.47,0.87,0.0725,0.4275,0.84,0.0,0.0,0.915,1.0,0.0,1
66,EMEA,MKOI,3,20,0.67,0.08,0.0,0.0,0.25,0.36,0.5825,0.12,0.175,1.0,0.0833333333333333,0.0,1.0,1.0,0.0,1,22,0.78,0.125,0.0,0.0,0.6,0.82,0.88,0.4175,0.825,0.9166666666666666,0.0,0.0,1.0,1.0,0.0,0
67,EMEA,KC,1,22,0.78,0.125,0.0,0.0,0.6,0.82,0.88,0.4175,0.825,0.9166666666666666,0.0,0.0,1.0,1.0,0.0,3,20,0.67,0.08,0.0,0.0,0.25,0.36,0.5825,0.12,0.175,1.0,0.0833333333333333,0.0,1.0,1.0,0.0,1
68,EMEA,MKOI,1,18,0.62,0.1379310344827586,0.0,0.33,0.44,0.4,0.5775,0.15,0.3275,0.9166666666666666,0.2766666666666666,0.0,0.5,0.0,0.0,3,23,0.75,0.2105263157894736,0.0,1.0,0.6,0.62,0.85,0.4225,0.6725,0.7233333333333333,0.0833333333333333,0.0,1.0,1.0,0.0,0
69,EMEA,BBL,3,23,0.75,0.2105263157894736,0.0,1.0,0.6,0.62,0.85,0.4225,0.6725,0.7233333333333333,0.0833333333333333,0.0,1.0,1.0,0.0,1,18,0.62,0.1379310344827586,0.0,0.33,0.44,0.4,0.5775,0.15,0.3275,0.9166666666666666,0.2766666666666666,0.0,0.5,0.0,0.0,1
70,EMEA,NAVI,5,32,0.76,0.3214285714285714,0.0,0.0,0.54,0.7,0.8574999999999999,0.3525,0.655,1.0,0.27,0.0,1.0,1.0,0.0,1,23,0.66,0.1025641025641025,0.0,0.2,0.58,0.38,0.6475,0.1425,0.345,0.73,0.0,0.0,1.0,0.0,0.0,1
71,EMEA,GX,1,23,0.66,0.1025641025641025,0.0,0.2,0.58,0.38,0.6475,0.1425,0.345,0.73,0.0,0.0,1.0,0.0,0.0,5,32,0.76,0.3214285714285714,0.0,0.0,0.54,0.7,0.8574999999999999,0.3525,0.655,1.0,0.27,0.0,1.0,1.0,0.0,0
72,EMEA,TL,3,23,0.78,0.25,0.0,0.0,0.63,0.78,0.955,0.27,0.605,0.9633333333333334,0.0,0.0,1.0,0.8174603174603174,0.0,1,13,0.6,0.037037037037037,0.0,0.0,0.5,0.33,0.73,0.045,0.395,1.0,0.0366666666666666,0.0,0.5,1.0,0.0,1
73,EMEA,FUT,1,13,0.6,0.037037037037037,0.0,0.0,0.5,0.33,0.73,0.045,0.395,1.0,0.0366666666666666,0.0,0.5,0.8174603174603174,0.0,3,23,0.78,0.25,0.0,0.0,0.63,0.78,0.955,0.27,0.605,0.9633333333333334,0.0,0.0,1.0,1.0,0.0,0
74,EMEA,VIT,2,17,0.64,0.0769230769230769,0.0,0.0,0.4,0.4,0.81,0.185,0.24,1.0,0.0366666666666666,0.0,1.0,1.0,0.0,2,24,0.76,0.2,0.0,1.0,0.67,0.65,0.815,0.19,0.76,0.9633333333333334,0.0,0.0,1.0,1.0,0.0,0
75,EMEA,TH,2,24,0.76,0.2,0.0,1.0,0.67,0.65,0.815,0.19,0.76,0.9633333333333334,0.0,0.0,1.0,1.0,0.0,2,17,0.64,0.0769230769230769,0.0,0.0,0.4,0.4,0.81,0.185,0.24,1.0,0.0366666666666666,0.0,1.0,1.0,0.0,1
76,EMEA,APK,1,22,0.65,0.1,0.0,0.0,0.56,0.45,0.8275,0.0775,0.39,0.9166666666666666,0.0,0.0,1.0,1.0,0.0,3,26,0.73,0.2777777777777778,1.0,0.33,0.57,0.61,0.9225,0.1725,0.61,1.0,0.0833333333333333,0.0,1.0,0.0,0.0,0
77,EMEA,FNC,3,26,0.73,0.2777777777777778,1.0,0.33,0.57,0.61,0.9225,0.1725,0.61,1.0,0.0833333333333333,0.0,1.0,0.0,0.0,1,22,0.65,0.1,0.0,0.0,0.56,0.45,0.8275,0.0775,0.39,0.9166666666666666,0.0,0.0,1.0,1.0,0.0,1
78,EMEA,KC,2,23,0.79,0.1875,0.0,0.0,0.86,0.7,0.9,0.275,0.57,1.0,0.0,0.0,1.0,1.0,0.0,2,18,0.62,0.1071428571428571,0.0,0.25,0.29,0.39,0.475,0.1,0.43,0.6666666666666666,0.0,0.0,1.0,0.0,0.0,1
79,EMEA,M8,2,18,0.62,0.1071428571428571,0.0,0.25,0.29,0.39,0.475,0.1,0.43,0.6666666666666666,0.0,0.0,1.0,0.0,0.0,2,23,0.79,0.1875,0.0,0.0,0.86,0.7,0.9,0.275,0.57,1.0,0.0,0.0,1.0,1.0,0.0,0
80,EMEA,VIT,2,20,0.77,0.25,0.0,0.5,0.5,0.78,0.75,0.3575,0.535,0.9333333333333332,0.4433333333333333,0.0,1.0,0.0,0.0,2,20,0.71,0.1785714285714285,0.0,0.0,0.54,0.32,0.6425000000000001,0.25,0.4649999999999999,0.5566666666666666,0.0666666666666666,0.0,1.0,1.0,0.0,1
81,EMEA,APK,2,20,0.71,0.1785714285714285,0.0,0.0,0.54,0.32,0.6425000000000001,0.25,0.4649999999999999,0.5566666666666666,0.0666666666666666,0.0,1.0,1.0,0.0,2,20,0.77,0.25,0.0,0.5,0.5,0.78,0.75,0.3575,0.535,0.9333333333333332,0.4433333333333333,0.0,1.0,0.0,0.0,0
82,EMEA,TL,4,19,0.78,0.3,1.0,0.0,0.69,0.55,0.8875,0.27,0.6375,1.0,0.1666666666666666,0.0,1.0,1.0,0.0,0,18,0.72,0.12,0.0,0.0,0.43,0.52,0.73,0.1125,0.3625,0.8333333333333334,0.0,0.0,0.5,0.0,0.0,1
83,EMEA,MKOI,0,18,0.72,0.12,0.0,0.0,0.43,0.52,0.73,0.1125,0.3625,0.8333333333333334,0.0,0.0,0.5,0.0,0.0,4,19,0.78,0.3,1.0,0.0,0.69,0.55,0.8875,0.27,0.6375,1.0,0.1666666666666666,0.0,1.0,1.0,0.0,0
84,EMEA,M8,0,17,0.67,0.04,0.0,0.33,0.33,0.44,0.5,0.1625,0.23,0.6666666666666666,0.0,0.0,1.0,1.0,0.0,4,24,0.77,0.2777777777777778,0.0,0.0,0.58,0.64,0.8375,0.5,0.77,1.0,0.3333333333333333,0.0,1.0,1.0,0.0,0
85,EMEA,BBL,4,24,0.77,0.2777777777777778,0.0,0.0,0.58,0.64,0.8375,0.5,0.77,1.0,0.3333333333333333,0.0,1.0,1.0,0.0,0,17,0.67,0.04,0.0,0.33,0.33,0.44,0.5,0.1625,0.23,0.6666666666666666,0.0,0.0,1.0,1.0,0.0,1
86,EMEA,GX,4,31,0.69,0.054054054054054,0.0,0.0,0.37,0.52,0.73,0.175,0.565,0.9333333333333332,0.0,0.0,1.0,1.0,0.0,2,33,0.72,0.1785714285714285,0.0,0.0,0.36,0.71,0.8250000000000001,0.27,0.435,1.0,0.0666666666666666,0.0,1.0,1.0,0.0,0
87,EMEA,FNC,2,33,0.72,0.1785714285714285,0.0,0.0,0.36,0.71,0.8250000000000001,0.27,0.435,1.0,0.0666666666666666,0.0,1.0,1.0,0.0,4,31,0.69,0.054054054054054,0.0,0.0,0.37,0.52,0.73,0.175,0.565,0.9333333333333332,0.0,0.0,1.0,1.0,0.0,1
88,EMEA,KC,3,35,0.71,0.1428571428571428,0.33,0.67,0.29,0.48,0.6025,0.2175,0.4075,0.69,0.0,0.0,1.0,1.0,0.0,3,33,0.69,0.2,0.0,0.4,0.67,0.63,0.7825000000000001,0.3974999999999999,0.5925,1.0,0.31,0.0,1.0,1.0,0.0,0
89,EMEA,FUT,3,33,0.69,0.2,0.0,0.4,0.67,0.63,0.7825000000000001,0.3974999999999999,0.5925,1.0,0.31,0.0,1.0,1.0,0.0,3,35,0.71,0.1428571428571428,0.33,0.67,0.29,0.48,0.6025,0.2175,0.4075,0.69,0.0,0.0,1.0,1.0,0.0,1
90,EMEA,NAVI,1,8,0.54,0.074074074074074,0.0,0.0,0.38,0.35,0.835,0.095,0.32,0.6666666666666666,0.0,0.0,0.5,0.0,0.0,3,29,0.82,0.2666666666666666,0.0,0.0,0.88,0.7,0.905,0.165,0.6799999999999999,1.0,0.0,0.0,1.0,1.0,0.0,0
91,EMEA,TH,3,29,0.82,0.2666666666666666,0.0,0.0,0.88,0.7,0.905,0.165,0.6799999999999999,1.0,0.0,0.0,1.0,1.0,0.0,1,8,0.54,0.074074074074074,0.0,0.0,0.38,0.35,0.835,0.095,0.32,0.6666666666666666,0.0,0.0,0.5,0.0,0.0,1
92,EMEA,BBL,2,38,0.75,0.15,0.0,0.5,0.6,0.54,0.6925000000000001,0.4425,0.35,0.8966666666666666,0.0966666666666666,0.06,0.855,1.0,0.0,2,34,0.64,0.2244897959183673,0.0,0.0,0.57,0.52,0.5575,0.3074999999999999,0.65,0.9033333333333332,0.1033333333333333,0.145,0.94,1.0,0.0,1
93,EMEA,FUT,2,34,0.64,0.2244897959183673,0.0,0.0,0.57,0.52,0.5575,0.3074999999999999,0.65,0.9033333333333332,0.1033333333333333,0.145,0.94,1.0,0.0,2,38,0.75,0.15,0.0,0.5,0.6,0.54,0.6925000000000001,0.4425,0.35,0.8966666666666666,0.0966666666666666,0.06,0.855,1.0,0.0,0
94,EMEA,GX,2,21,0.79,0.2631578947368421,1.0,0.0,0.43,0.7,0.89,0.1725,0.6525,0.7766666666666667,0.22,0.0,1.0,0.0,0.0,2,21,0.66,0.0714285714285714,0.0,0.25,0.29,0.46,0.8275,0.11,0.3475,0.7799999999999999,0.2233333333333333,0.0,1.0,1.0,0.0,1
95,EMEA,APK,2,21,0.66,0.0714285714285714,0.0,0.25,0.29,0.46,0.8275,0.11,0.3475,0.7799999999999999,0.2233333333333333,0.0,1.0,1.0,0.0,2,21,0.79,0.2631578947368421,1.0,0.0,0.43,0.7,0.89,0.1725,0.6525,0.7766666666666667,0.22,0.0,1.0,0.0,0.0,0
96,EMEA,M8,0,25,0.65,0.0512820512820512,0.0,0.33,0.5,0.56,0.835,0.285,0.475,1.0,0.02,0.0,1.0,0.0,0.0,6,40,0.76,0.1428571428571428,0.0,0.0,0.6,0.54,0.715,0.165,0.525,0.98,0.0,0.0,1.0,1.0,0.0,0
