,Region,Team,Pistol Rounds Won,First Kills,KAST,Clutches,Eco,Semi-Eco,Half-Buy,Full-Buy,+1,-1,0,+2,-2,-3,+3,+4,-4,Pistol Rounds Won Opp,First Kills Opp,KAST Opp,Clutches Opp,Eco Opp,Semi-Eco Opp,Half-Buy Opp,Full-Buy Opp,+1 Opp,-1 Opp,0 Opp,+2 Opp,-2 Opp,-3 Opp,+3 Opp,+4 Opp,-4 Opp,Result
37,AMERICAS,G2,0.5,23,0.69,0.3125,0.0,0.0,0.75,0.75,0.7575000000000001,0.565,0.7,0.9633333333333334,0.0,0.0,1.0,1.0,0.0,0.5,17,0.67,0.1428571428571428,0.33,0.0,0.38,0.33,0.435,0.2425,0.3,1.0,0.0366666666666666,0.0,1.0,1.0,0.0,1
38,AMERICAS,MIBR,0.6666666666666666,37,0.76,0.0689655172413793,0.0,0.25,0.53,0.54,0.5675,0.1825,0.4024999999999999,0.9433333333333334,0.14,0.0,1.0,1.0,0.0,0.3333333333333333,29,0.71,0.225,0.0,0.0,0.55,0.6,0.8175,0.4325,0.5975,0.86,0.0566666666666666,0.0,0.5,1.0,0.0,1
39,AMERICAS,KRU,0.3333333333333333,29,0.71,0.225,0.0,0.0,0.55,0.6,0.8175,0.4325,0.5975,0.86,0.0566666666666666,0.0,0.5,1.0,0.0,0.6666666666666666,37,0.76,0.0689655172413793,0.0,0.25,0.53,0.54,0.5675,0.1825,0.4024999999999999,0.9433333333333334,0.14,0.0,1.0,1.0,0.0,0
40,AMERICAS,SEN,0.5,52,0.74,0.1702127659574468,0.6,0.0,0.58,0.63,0.7575000000000001,0.2925,0.505,0.9533333333333333,0.0466666666666666,0.0,0.95,1.0,0.0,0.5,46,0.67,0.1475409836065573,0.0,0.29,0.36,0.46,0.7075,0.2425,0.495,0.9533333333333333,0.0466666666666666,0.05,1.0,1.0,0.0,1
41,AMERICAS,MIBR,0.5,46,0.67,0.1475409836065573,0.0,0.29,0.36,0.46,0.7075,0.2425,0.495,0.9533333333333333,0.0466666666666666,0.05,1.0,1.0,0.0,0.5,52,0.74,0.1702127659574468,0.6,0.0,0.58,0.63,0.7575000000000001,0.2925,0.505,0.9533333333333333,0.0466666666666666,0.0,0.95,1.0,0.0,0
42,AMERICAS,G2,0.7,50,0.71,0.1578947368421052,0.0,0.14,0.65,0.51,0.755,0.2325,0.4824999999999999,0.97,0.08,0.0,1.0,1.0,0.0,0.3,51,0.7,0.1403508771929824,0.0,0.29,0.45,0.62,0.7675000000000001,0.245,0.5175,0.92,0.03,0.0,1.0,1.0,0.0,1
43,AMERICAS,SEN,0.3,51,0.7,0.1403508771929824,0.0,0.29,0.45,0.62,0.7675000000000001,0.245,0.5175,0.92,0.03,0.0,1.0,1.0,0.0,0.7,50,0.71,0.1578947368421052,0.0,0.14,0.65,0.51,0.755,0.2325,0.4824999999999999,0.97,0.08,0.0,1.0,1.0,0.0,0
44,AMERICAS,C9,0.5,31,0.7,0.15625,0.33,0.0,0.57,0.59,0.8925,0.26,0.5025,1.0,0.0,0.0,1.0,1.0,0.0,0.5,29,0.72,0.1111111111111111,0.0,0.25,0.61,0.38,0.74,0.1075,0.4974999999999999,1.0,0.0,0.0,1.0,1.0,0.0,1
45,AMERICAS,NRG,0.5,29,0.72,0.1111111111111111,0.0,0.25,0.61,0.38,0.74,0.1075,0.4974999999999999,1.0,0.0,0.0,1.0,1.0,0.0,0.5,31,0.7,0.15625,0.33,0.0,0.57,0.59,0.8925,0.26,0.5025,1.0,0.0,0.0,1.0,1.0,0.0,0
46,AMERICAS,KRU,0.6666666666666666,29,0.74,0.1724137931034483,0.0,0.5,0.56,0.56,0.6599999999999999,0.2875,0.555,1.0,0.14,0.0,1.0,1.0,0.0,0.3333333333333333,25,0.7,0.1515151515151515,0.25,0.0,0.44,0.6,0.7125,0.3399999999999999,0.445,0.86,0.0,0.0,1.0,1.0,0.0,1
