,Team,Pistol Rounds Won,First Kills,KAST,Clutches,Eco,Semi-Eco,Half-Buy,Full-Buy,+1,-1,0,+2,-2,-3,+3,+4,-4,Pistol Rounds Won Opp,First Kills Opp,KAST Opp,Clutches Opp,Eco Opp,Semi-Eco Opp,Half-Buy Opp,Full-Buy Opp,+1 Opp,-1 Opp,0 Opp,+2 Opp,-2 Opp,-3 Opp,+3 Opp,+4 Opp,-4 Opp,Result
45,ZETA DIVISION,3,27,0.79,0.2631578947368421,0.33,0.0,0.63,0.71,0.8075,0.29000000000000004,0.63,0.96,0.11,0.0,1.0,1.0,0.0,1,14,0.69,0.07407407407407407,0.0,0.0,0.5,0.4,0.71,0.1925,0.37,0.89,0.04,0.0,0.5,0.0,0.0,1
46,DetonatioN FocusMe,2,33,0.66,0.13636363636363635,0.0,0.5,0.58,0.44,0.71,0.3325,0.62,0.9433333333333334,0.10666666666666667,0.07,1.0,1.0,0.0,4,39,0.75,0.13513513513513514,0.0,0.5,0.5,0.57,0.6675,0.29,0.38,0.8933333333333332,0.05666666666666667,0.0,0.9299999999999999,1.0,0.0,0
47,Paper Rex,4,39,0.75,0.13513513513513514,0.0,0.5,0.5,0.57,0.6675,0.29,0.38,0.8933333333333332,0.05666666666666667,0.0,0.9299999999999999,1.0,0.0,2,33,0.66,0.13636363636363635,0.0,0.5,0.58,0.44,0.71,0.3325,0.62,0.9433333333333334,0.10666666666666667,0.07,1.0,1.0,0.0,1
48,Paper Rex,3,19,0.73,0.2777777777777778,0.0,1.0,0.5,0.71,0.6825,0.3925,0.6525,0.9433333333333334,0.06666666666666667,0.0,1.0,1.0,0.0,1,21,0.69,0.1111111111111111,0.0,0.67,0.33,0.33,0.6074999999999999,0.3175,0.34750000000000003,0.9333333333333332,0.05666666666666667,0.0,0.5,1.0,0.0,1
49,Global Esports,1,21,0.69,0.1111111111111111,0.0,0.67,0.33,0.33,0.6074999999999999,0.3175,0.34750000000000003,0.9333333333333332,0.05666666666666667,0.0,0.5,1.0,0.0,3,19,0.73,0.2777777777777778,0.0,1.0,0.5,0.71,0.6825,0.3925,0.6525,0.9433333333333334,0.06666666666666667,0.0,1.0,1.0,0.0,0
50,T1,1,12,0.61,0.0,0.0,0.5,0.17,0.41,0.765,0.13,0.36,0.5833333333333334,0.0,0.0,0.5,0.0,0.0,3,28,0.78,0.2,0.0,0.0,0.75,0.68,0.87,0.235,0.64,1.0,0.08333333333333333,0.0,1.0,1.0,0.0,0
51,TALON,3,28,0.78,0.2,0.0,0.0,0.75,0.68,0.87,0.235,0.64,1.0,0.08333333333333333,0.0,1.0,1.0,0.0,1,12,0.61,0.0,0.0,0.5,0.17,0.41,0.765,0.13,0.36,0.5833333333333334,0.0,0.0,0.5,0.0,0.0,1
52,DRX,5,41,0.71,0.16666666666666666,0.0,0.67,0.44,0.51,0.8425,0.25,0.5575,1.0,0.13333333333333333,0.0,1.0,1.0,0.0,1,25,0.72,0.1111111111111111,0.2,0.33,0.54,0.56,0.75,0.1575,0.4425,0.8666666666666667,0.0,0.0,1.0,1.0,0.0,1
53,Gen.G Esports,1,25,0.72,0.1111111111111111,0.2,0.33,0.54,0.56,0.75,0.1575,0.4425,0.8666666666666667,0.0,0.0,1.0,1.0,0.0,5,41,0.71,0.16666666666666666,0.0,0.67,0.44,0.51,0.8425,0.25,0.5575,1.0,0.13333333333333333,0.0,1.0,1.0,0.0,0
54,Nongshim RedForce,3,33,0.75,0.1111111111111111,0.33,0.33,0.43,0.7,0.8075,0.33249999999999996,0.42,0.9700000000000001,0.0,0.0,1.0,1.0,0.0,3,31,0.63,0.10526315789473684,0.0,0.5,0.38,0.46,0.6675,0.1925,0.5800000000000001,1.0,0.03,0.0,1.0,1.0,0.0,1
55,ZETA DIVISION,3,31,0.63,0.10526315789473684,0.0,0.5,0.38,0.46,0.6675,0.1925,0.5800000000000001,1.0,0.03,0.0,1.0,1.0,0.0,3,33,0.75,0.1111111111111111,0.33,0.33,0.43,0.7,0.8075,0.33249999999999996,0.42,0.9700000000000001,0.0,0.0,1.0,1.0,0.0,0
56,DetonatioN FocusMe,0,13,0.63,0.10714285714285714,0.0,1.0,0.46,0.39,0.7050000000000001,0.18250000000000002,0.4,1.0,0.10333333333333335,0.0,0.5,0.0,0.0,4,27,0.8,0.3,0.0,1.0,0.8,0.52,0.8175,0.29500000000000004,0.6,0.8966666666666666,0.0,0.0,1.0,1.0,0.0,0
57,BOOM Esports,4,27,0.8,0.3,0.0,1.0,0.8,0.52,0.8175,0.29500000000000004,0.6,0.8966666666666666,0.0,0.0,1.0,1.0,0.0,0,13,0.63,0.10714285714285714,0.0,1.0,0.46,0.39,0.7050000000000001,0.18250000000000002,0.4,1.0,0.10333333333333335,0.0,0.5,0.0,0.0,1
58,Rex Regum Qeon,1,37,0.68,0.0975609756097561,0.0,0.0,0.22,0.58,0.7275,0.10250000000000001,0.5925,1.0,0.0,0.0,1.0,1.0,0.0,5,31,0.72,0.19444444444444445,0.5,0.25,0.47,0.61,0.8975000000000001,0.2725,0.4075,1.0,0.0,0.0,1.0,1.0,0.0,0
59,Team Secret,5,31,0.72,0.19444444444444445,0.5,0.25,0.47,0.61,0.8975000000000001,0.2725,0.4075,1.0,0.0,0.0,1.0,1.0,0.0,1,37,0.68,0.0975609756097561,0.0,0.0,0.22,0.58,0.7275,0.10250000000000001,0.5925,1.0,0.0,0.0,1.0,1.0,0.0,1
